id,user,timestamp,commentText
Ugz8rrG1mHzLqJPP8bd4AaABAg,Jax,1535125412829,"Britain is our model. Its a nightmare. We have a Grandson of a known terrorist involved in the attack of Olympic games running for office in this country! Please we need to push back hard. We are labeled for no good reason as racist well then lets be racists to known affiliates of leftist terrorists.  These people should be back on the show I wonder how they would defend their opinions now.  Even the ""therapy introspective"" guy with the stupid shirt too."
UgyeeTq_Jc64b2W_VsJ4AaABAg,gary sanchez,1535121812841,more like 'you can't pee next time me'
UgxnsRYiyJX0624mVYp4AaABAg,The Prude Nudist,1535085812852,I fucking hate bill maher's audience
Ugy48raSrVnria9Xk5Z4AaABAg,B Kailua,1535082212865,Funny how Bill Maher was so against muslims until Trump was against muslims.
UgyaPG1ZuD9Jf9ox4V54AaABAg,Robert Harwood,1535060612881,"Cameron, said much, did little!"
Ugzkct1SbaBl19BmE1N4AaABAg,ProjectP,1535053412902,Lawrence Wilkerson scares the shit out of me. He held a very high position and he is so stupid it hurts to listen to him try to have a conversation.
UgzbGbwPLCLscIyY0aJ4AaABAg,Some Guy,1535046212917,"Liberals latch on to any exception to the rule, not realizing it proves the rule. Islam is not compatible with humanity period. Who is this bald cuck Muslim apologist?"
UgxehATj1yJ9_XPQBKB4AaABAg,Anthony Anderson,1535046212942,So I’ve always leaned slightly right of center but I can honestly say I’ve always loved Maher. He’s witty and funny but also calm and collected. Whether he’s right or wrong
Ugx2UTQ4ntnyo8VtrN14AaABAg,James Johanson,1535046212954,You can’t Live with people who wants you dead
UgykrFaErydxXhsvvwh4AaABAg,AColonDashSix,1534959812967,Did this audience all get lobotomies at the same place? The applause is so misplaced like what the hell
UgyabAZDkY3x_9QLOsB4AaABAg,edward thomas,1534959812979,Look what5 is happening in Europe. we don't need to be invaded. by Islamic  terrorists.
UgyIH8wKXhcvQkpoArx4AaABAg,streglof,1534873412995,"the Bible doesn't say ""take little boys and molest them"" but the Quran DOES say ""kill the unbelievers"""
UgxWGFN5zYmLOv5vAgl4AaABAg,Paul Newman,1534873413017,Let’s talk about the crimes Israel has committed ? Any time Bill?
Ugx0POGFOVz9hmsMnN14AaABAg,Socrates,1534787013043,Holy shit so when the terrorist literally say they are doing it for Islam...this fucking dunce can know more about what's in his mind and say he was just using that as an excuse. Wow.
UgzsT-nGgzjURsFrje54AaABAg,J W,1534787013055,"Liberals are introspective ? Yea...no

Libertarians are the introspective ones , it’s shown in studies that libertarians are the most logical group and less responsive to emotional impulses."
UgwsuwJDMjMvjHPPGM54AaABAg,MsKsmith1234,1534787013069,Bunch of idiots. Except Bill.
Ugy1PdMp7uZrsrsc-nl4AaABAg,Bill Wagner,1534700613082,"islam sucks. muslims suck.
muhammad was a pedophile.
allah is a false god."
Ugw_rrTSBlC14NSL6754AaABAg,Phillip Henein,1534700613099,Every person on this panel is an idiot.
UgzVmuKZMV0-zgVszDx4AaABAg,Jake Siewertsen,1534700613111,Jesus Christ when Bill Maher is the voice of reason you know we’ve gone down a dark path. I can barely stand to listen to all these ideological retards in the audience clapping their fins together every time someone does a little virtue signaling. Oh how there tone would change if ISIS walked through those doors.
UgwQPNC8wZpHXul0fKt4AaABAg,giteausuperstar,1534614213121,This audience is disgraceful
UgwN_3p3LBF7tHucwXN4AaABAg,Pankaj Kumar,1534614217431,Shame on you Patel
UgzMO9iHoixuDSFiuGZ4AaABAg,Open Sesame,1534614217443,"The problem with hindu indians is that they are weak. ravi patel, come on. god knows how your ancestors have suffered, way more than bill maher's in any case, from invasion after invasion of gujarat by muslims. How they tortured, raped, genocidally killed your people for centuries, and now you want to join the politically correct side of this debate? screw that."
UgyLnh4d_QqeJANeBTZ4AaABAg,Weber Candilora,1534527817455,"The scariest thing for people in this country is, without a doubt, the donut.. Obesity is going to kill far more people this year than any terrorist."
UgzAjSYlI4uguzgDS1B4AaABAg,Chris Kilmer,1534527817476,Islam does not want to separate church from State.
UgwDCpiU552Sf_WL7Wd4AaABAg,Chris Kilmer,1534527817488,Islam is not the religion of peace.folks stop apologizing for Muslims .
UgxD27635zWgUca_P5F4AaABAg,B N,1534527817502,"I don't care what's your opinion , but THE EARTH IS FLAT and it's a FACT"
UgykeK3E4tpGqWXJxs54AaABAg,Nightmare Aesthetics,1534527817517,All the islamic apologists did a great job of making asses of themselves. But but boy that moron in the pee next to me shirt really took the gold.
UgxzRVtmXJeishegywR4AaABAg,Jay Truver,1534527817538,The bald guy reminds me of Trump in a way. Jump to the hyperbole and denounce everything the other side says at once.
UgxssK7FSFwPhwL5Vsh4AaABAg,Caleb Smithwick,1534527817555,Why is no one talking about that dudes shirt? You can pee next to me? What?
UgwVSVD7qpgclbKv8rF4AaABAg,Mo Fo,1534527817567,"Statistically around HALF of the Muslims in the world have ""extremist"" beliefs. Whether they believe in Sharia law or killing gays or ""Honor killings or violence against non Muslims, etc, etc, etc."
Ugxa4y_xh7B_f-9f_vp4AaABAg,Reise Keller,1534527817579,"I agree with Bill on VERY FEW issues... but this is just ridiculous, he's the only voice of reason on this panel!"
Ugwmovjts2K5u1m5dYV4AaABAg,Sephi Roth,1534527817591,you can pee next to me
UgyypPZArbosRx3AeuZ4AaABAg,E M,1534527817604,"5:00 in the guy claims the terrorist in Grinder, which has been debunked"
UgwZmI194MgitYnJKFF4AaABAg,Jesse Miles,1534527817618,I agree with the Goddess in blue
UgyXed6fCeZP_c2vXo54AaABAg,Jose Herrera,1534527817633,"This former colonel claims that he met with all these intelligence groups like he has the authority of a 4-star general but has really no clue what Bill was trying to explain to him. And yet Bill explains it like a ""For Dummies"" book now Bill has to explain to this ""colonel"" to and even more dumb version of what he explained."
Ugz6TA4bXudcy7Jg1El4AaABAg,Jay,1534527817648,"Just wait til cafes in NYC, Chicago, San Fran, or Houston start blowing up like they do in the Mid East."
Ugxh0Ma4BKqTV84_hep4AaABAg,EJ,1534527817662,"Bald guy on the left is a cuck, piece of crap, apologist, hoping they don't come for him.  And Comey is deceitful asshole. ""lone wolf"" is what liberals call islamic killers in sleeper cells. And the stupid crowd, the dumbest ""useful idiots"" on TV, are pathetic.  They clap for every PC term and phrase that is uttered, bunch of PC robots.  And Bill didn't ""own"" anyone because he had two people more left wing than him pandering to his lefty Borg crowd."
UgxqfqlJ5ZXC4hy4QWh4AaABAg,Mr. 1'NDone,1534527817678,Why is that horse wearing a purple dress
Ugxiji-n0Mv0xwvS71l4AaABAg,Lio Local Chibi Thief,1534527817696,"The problem is Islam  is like cancer, it spreads far an wide without discrimination, while the SJW didnt learn the lessons from freddie mercury spreading awareness of HIV among other things but lets keep it PC here and wont mention that part, we can clearly see the SJW approach of having the states they infect spread their butt cheeks in unison for the upcoming picnic, or its jest their way to protest over the decreased penis size of our generation by showing the local governments another way to fuck over their citizens, In conclusion, SJW is like HIV, they transmit the cancer we know today as Islam or radical Islam if you want to specific.
remember Obama is a lizard man who employed to 9 cloud people to remind the 11 people out there that you cant whack bush's."
UgyaA67Ze995yG1XjXR4AaABAg,greatestgiftis,1534527817710,If the Koran/ Islam religion teaches and it’s goal is world domination under the religion of Islam then all Muslims following there Koran except that. So push come to shove they will choose Islamic belief. Do you see Muslims debating with other Muslims in the street in this county or there own. NO why is that ?
Ugz6X619OqeoNA90_Gp4AaABAg,Shane Patrick,1534527819381,Poor Bill he always tries to make headway on this issue and these fucking apologists and ends up talking to a wall
UgxCELO0nPEZbzfqRKJ4AaABAg,Matt Hawkins,1534527819403,1:10.  what a white privilege thing to say.  not many people can afford therapy
Ugx85bfMjaZ_atWYUfZ4AaABAg,Mr. Vizard,1534527819415,Nothing worse than a liberal with a southern accent
UgwNlh7AaGQ0FNbY9rl4AaABAg,Marco DeNuzzio,1534527819429,All of them are retarded
Ugxgdw5_d3OBULEhjBt4AaABAg,Marcus Marine,1534527819444,Now anyone's a threat😔what next are we going to start being suspicious of our pets😒 🐕thinking are pets are really drones OUT TO HILL US @LL!!!!!😂 the Scare Tactics are just to funny now 😒the one's we have to be scared of are the one's in our own government as we have all seen and what 🇺🇸🇺🇸PRESIDENT Kennedy🇺🇸 talked about ....🇺🇸🇺🇸🇺🇸
Ugzw9lG3RT8MakR3W714AaABAg,todd noble,1534527819462,Patel. The biggest owners of shit hotels around the world!!!!!
Ugyf5uDnDXUORhzGGDZ4AaABAg,WildSky,1533923019474,Who is the fuck on the far left?  Hopefully trump fired that fuck if he was a fed
UgxNln5Flhsm0B5ISlt4AaABAg,David Harms,1533923019487,The real elephant in the room is the play book being used.
UgyA_BVIknuyxHEsepV4AaABAg,TheMozzaok,1533923019499,"The woman and Bill maher were the only two, that had a clue. The soldier guy was a full bird retard. People think I am racist because I point out when black people act like morons, because they are actual morons(by legal definition), but this Colonel may not be that stupid, but he is certainly dumb."
UgwU4zUWrlv-3DN9pUJ4AaABAg,Clifton,1533923019508,The mentality of the audience is the reason why the Dems continue to loose. They're so out of touch with the majority of Americans.
Ugw-LtiEAZ1EMhLZi6J4AaABAg,Aspectioner,1533923019524,"Absolutely incredible how Maher COMPLETELY shuts down his Indonesia argument at 7:30, and he just moves on like nothing happened. Not only that, he pretends Maher didn't just stood him up with facts, and proceeded to presume Maher called for war instead. Like seriously, how deluded is that? 

How about you address you were wrong about Indonesia, therefore Maher was right, and then ask about action. Don't cower away by falsely assuming his position; especially so when you're doing it as a blatant way to discredit."
Ugwn4JxSRH5JTewGrkh4AaABAg,Aaron Mills,1533923019547,Well why is Isis a lone Wolfe's team? Which is Islam
UgwzAR0MUn6z3SZqknh4AaABAg,richard ramfire,1533923019564,Bill Maher deserves respect for speaking his mind. Everyone including his own audience and the panel except for the lady was against him.
UgzmUS4nfAiV7LVG9fF4AaABAg,Gandalf the Gay,1533923019581,"As a conservative this made me respect Bill Mahur so much more, I wish more liberals were like him."
UgwWE-Sh33VHWymEbAd4AaABAg,Prakash Singhoul,1533923019592,Why this Hindu guy is embarrassing himself? Shut up you idiot.
UgwkG48ExHS3TnF7mGx4AaABAg,Kevin Graham,1533923019605,This is a product of the American education system. There's a lack of nuance in some of these panelists that makes any kind of productive debate almost impossible.
UgwH_z3yoAUnYSTPwlN4AaABAg,Jason Hines,1533923019618,Thank you Mr Maher.
Ugy4TW7d74jzp_fb-gh4AaABAg,Matt TheDestroyer 2,1533923019631,Damn they compared isis to conservatism
UgzVizZZtGJUQcWvnyx4AaABAg,ktstrawb,1533923019647,"Fuck Islam, fuck their prophet,"
Ugy6DuEKEj5KYC-EcaB4AaABAg,Keshav R,1533923019660,Patel guy........stop defending the indefensible....Side note: Gujrat anti-muslim riots were led by the very same patels. They are not peace cookies eitherways
UgylkLZBu2I6BOjv9Lx4AaABAg,pedro correa,1533923033278,The dude is not on Isis because he is gay. I guest Ernst Rohm was not a nazi.
UgxYvNxGnjsPa6f30AN4AaABAg,JustLouIt,1533923033289,Wow. I'm conservative and I agree with Bill Maher
Ugzzji0RsircDlFrqmx4AaABAg,Scott Little,1533923033299,Bill Maher is only right on one thing here
UgyoJbDlxvuVU7brZ0V4AaABAg,Aidan Zufolo,1533318233311,"Wow, baldie set up more straw men than Bill had time to burn"
UgzMc5fEgA43rD1LpLd4AaABAg,You Mad Tho,1533318233324,Funny how ISIS disappeared the day Obama left office
Ugx9w4_jrArICilQF1J4AaABAg,Carson k,1533318233335,You can pee.
UgyYh7QXmbGXk6AIl4x4AaABAg,hwkrunner,1533318233346,Fuck these people are stupid
UgwHOFcm6kltttA7_JB4AaABAg,Heath Settle,1533318233357,Yesterday's Bill Maher is today's Dave Rubin
UgwhsUIv8nITfTf3co54AaABAg,Heath Settle,1533318233369,"Am I in an alternate universe? I never thought I'd ever be on Maher's side on anything, but he's right"
UgzEc2P2mEEpxcj0F3N4AaABAg,Sandra Long,1533318233374,"“The military doesn’t do therapy.”

Rofl, civilians are garbage."
UgwEN_4puSaJiyV0Wit4AaABAg,Kevin Burke,1533318233384,It's sad when Bill Maher is the lone voice of reason on the panel.
UgyFr9ddDS92O4cRDPd4AaABAg,Conor Condon,1533318233395,Bill lost when he said this is quote from David Cameron we all respect him
UgwikS9Bck1PGYIv8VR4AaABAg,Frank K,1533318233399,"It doesn't matter how many arguments Maher wins with radical leftists, that is the way ""progressives"" are going and he can't stop them, and he is becoming a leftist relic, a latter day Fritz Mondale, seen as irrelevant by the left and ready to be tossed out into the trash.  This isn't your dad's Democrat party."
UgxDw-wG9EKNOLxzlM54AaABAg,Jordan,1532713433408,“Being good is good”. Audience: “WHOOOOOOOOOOOOO 👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻”
UgwGqc5spz8bu2s_Zgh4AaABAg,Jovani Cruz,1532713433415,Everyone is a moron
UgxDNKjrC-BXog9HhM14AaABAg,Roberto robert,1532713433421,"Virginia tech NBC package the lunatic claimed to be Jesus , Jeffrey Daumier sentencing statement thought he was working for Jesus, Shelly Shannon used the holy Bible as her defense, they are high profile murders 
Then you have kkk lodges with banners ""Jesus saves"" and AOG army of God who wants homosexuality punished by the death penalty,
What we are witnessing is the beginning of nazi Germany, we all read those history books making plans about how we destroy Nazism from the inside? At least I did, I don't care if a person is Jewish Muslim atheist Christian or big bird, If a person gets judged or harmed for being born in the wrong household in which they had no option (no one prays in the womb let me be born in a palace or slums) then I am with them regardless, 
In fact I remember my Jewish bf wearing the little hat bring bullied and I knocked the bully out, had he been Muslim atheist gay or a n other my reaction would be the same, live and let live, 
I kind of understand why God has sent us into this temporary world, can you imagine living for ever and a person who did not like you wanted to play God? Well that worry only exists in this short life as all the wannabe Gods are far away in a very hot place,"
Ugz_LkarHp5RkAgYXRF4AaABAg,Esteban Miguel,1532713433429,When does he “school” them.   Clickbait
Ugzq3NVwU47048cFO-t4AaABAg,Bobby Myers,1532713433437,Back when Bill was rational.
Ugwe0hNcDDUWHkzC9754AaABAg,buzztrucker,1532454233441,@8:16 and on Maher buries himself because he shows how impractical his ideas translate into action. Just a bunch of empty drivel from a suit that sits on his chair with panels touting half-baked ideas.
UgyXM6cL_oaFxeyl_bt4AaABAg,Destroy Liberals,1532454233451,"The majority of muslims are filthy, ignorant and unfit to be around civilized people. The majority of liberals are ignorant, narrow-minded crybabies. 
Now, I didn’t say all. I said the majority. Without saying anything about how trump is the devil or similar things, prove me wrong. Make a factual statement not backed up by “feels”. GO!"
UgwPSnWuMB9GrS972m14AaABAg,Jianju69,1532454235549,"""Everyone needs to be in therapy.""

Mm, yes, and of course everyone can afford $100/hr on a weekly basis, right? Get a clue, bozo."
UgzFFxrF156f6q5d9m94AaABAg,Michael King,1532454235561,bill maher is a hack and a fake atheist since he will excuse every fucking war crime or atrocity committed by Israel
UgxdSZBd7621JcshKY54AaABAg,Don A,1532454235573,What a pussy that pee next to me guy is. Typical liberal that is a closet racist and scared of black people.
UgwF-3gaD_1jAZaLFYx4AaABAg,I'm Always Right,1532454235583,"Only person that got owned is Bill, and I like Bill"
Ugz2W0nBCFEAg7m9Gmh4AaABAg,I'm Always Right,1532454235590,All of the mass shootings in 2018 have been white Americans -  probably all Trump fans.
UgyLLSF4Ktwzhu-qsA14AaABAg,kab2a,1532454235600,How the fuck will a lone wolf get a weapon of mass destruction. This man is chatting shit.
UgwPjObi3B5EZpeQ0854AaABAg,Andrew Garratt,1532454235610,the audience is insufferable
UgwmQmjO95hp5Kx9S554AaABAg,canadian welder,1532454235622,"The fact is Islam needs to adopt the addiction motto,you can't fix the problem until you admit you have one"
Ugx8yNushoem2QAbEqh4AaABAg,thenatesteele,1532454235632,"Anyone else get the feeling Bill Maher is becoming a closet conservative. I mean, smoking weed might be the hill he dies on for liberalism, but c’mon peeps, he actually agreed with something Trump said!"
Ugw8bca4xgTScvZYn_p4AaABAg,shravan singh,1532454235637,I don't understand why everyone is so scared of telling the truth? what are they afraid of?? offending their friends and peers? Patel guy is telling he has tons of Muslim friends who do not possess that kind of thought. First of all guy like him would never talk about such controversial issue with his friends and second up to what at what length and extent he has spoken about these issues with his friends.
UgyPKvUeCGfAZ2BE38J4AaABAg,Marshall Amador,1532454235647,"""There is a war between Islam and the west"" ...But there is

Isis is a product of Islam
And the pedo priest is a product of Christianity

Because the religions have made it easier for these things to come about"
UgzGxq2wbpN6Zo6Mlml4AaABAg,Don Moyer,1532454235657,Your gay as F@#K if your wearing a shirt that says you can pee next to me!!!
UgyMpvIhfdMEJ_zWjiR4AaABAg,SERGIO BACA,1532454235667,#Trump2020
UgyFc8Rlu3xb9-0RSzB4AaABAg,paulus Storteboom,1532454235679,Why do not-Muslims protect Islam that is Insane.. The read koran and scream Allah akbar.. Bill is right
UgwmyktqXTCDRm-wT5R4AaABAg,Pablo Rages,1532454235691,A panel of MORONS .... Islam IS the source of extremist terrorists !
UgxJ1GXOzmXg8mwDkEh4AaABAg,Termination Shock,1532454235701,"Ok, so I am generally more leaning towards Maher's point of view but here the ""lone wolf"" argument clearly won. Maher was speachless when the cornel talked. How can you say he owened anyone?"
Ugw_mlVG9RwGrAYJCvN4AaABAg,matthew reid,1532454235712,How can the bald guy have all this knowledge and still say it's nothing do do with islam. If there was no islam they wouldn't have these reasons to kill. It's an ideology
Ugww1cMNlC80xeY_CG54AaABAg,Peter Dine,1532454235719,"As a British person, hearing anyone say people respect David Cameron is pretty laughable"
UgwOEH5vNKHklKJhUtp4AaABAg,Big Zeddie,1532454235728,These people are a lost cause.
UgyJF_vBrL9VIdiAXRt4AaABAg,LobsterPuncher,1532454235738,"""So let me get this straight, you want to declare war on all Muslims?"" 

WHAT? Was this moron abducted by aliens during the panel and transported back in the blink of an eye to a different reality answering some other question? That was completely out of left field and isn't even close to what Bill said."
Ugx-XSRjNmXu574VHLp4AaABAg,raphaeljames100,1532454242461,"I like how regular citizens think that “colonel in the US Army” is a title that gives him some credibility. Haha I’m in the army and I cN tell you people of all ranks in the military are just regular dudes, a colonel barely knows shit above a regular citizen."
UgyBfO88Tuo6r-AvUeR4AaABAg,Lam Sodge,1532454242473,How the hell did this moron rise to the rank of Colonel?! That worries me about the state of the US Army’s hierarchy!
UgwWPml5zkABiz2NgJZ4AaABAg,Bawar Saeed,1532454242486,Bill Maher the bigot won’t listen or change his mind when presented with a valid argument as usual. Getting owned more and more for his obvious hypocrisy
UgzMmNW3E3oiRmlVUz14AaABAg,Roman Morales,1532454242496,left wing is so far gone they don't knkw right from wrong.
UgyZupK3JHIgouA4got4AaABAg,Not_My_Name,1532454242507,I turned my speakers all the way up and could still barely hear it.
Ugz_dzv_keEkbqpZHlt4AaABAg,Rocker John,1532454242516,That hillbilly character was pathetic. It’s assholes like him who actually make the important decisions
UgxBhHG2VtaBoo9EjLV4AaABAg,Benjamin Keith,1532454242525,"Bill goes to center with Islam and Political Correctness. Its too bad in a sense he didnt on more. But: he knows his audience: and what part of his views make him money. And edited to add: ironically, just over 2 years later: now feminism and Islam are aligned in culture. And the dems are currently looking like they'll lose the entire House Senate...sigh...thank you Socialism. For pushing the Dems so far left: I cant vote for them: potentially for the rest of my life time. 

Its also just too bad: Mahar didnt speak out about the PC'ness of Socialism when it was rising: vs now already being here: and on HIS side of the fence. 

I cant imagine the amount of justifications he needs to do daily: to walk out in front of the camera: knowing most of his positions nowadays: are lies for the narrative's sake: no longer his own."
Ugztu_tpdQo_0mrkzd14AaABAg,Squim,1532454242535,"I think I agree with the old man the most. I just don't really understand what Bill's saying. He says we ought to ""stand up for liberal values"" and ""get real."" What exactly does he mean by that? Human rights are good and should be promoted, I agree. Most of America agrees. But what is it that he suggests we do about it? What is he suggesting we say? ""We don't like muslims?"" ""Islam is a problem?"" Such language only alienates our potential allies who reform within their own communities.

I think what liberals are doing is ""getting real."" We're aware that we ought to support and elevate voices in the world which reflect our values. But we also have recognized that neoconservative and neoliberal impositions of our values have failed, and that othering a broad swath of people we do business with daily is at best counterproductive.

Of course the Indonesian Army's ""two finger test"" is disgusting, horrifying, and religiously motivated. But we can't just change out the regime and culture for our own. What we can do is continue to conduct commerce and cultural exchange, continue to vocally support women's rights, human rights, and the international multilateral institutions which seek to protect them, and try not to alienate ourselves from the world.

All of that, to me, is what ""getting real"" is. It's giving up the fantasy that we can save the world by telling it ""Islam is bad,"" and adopting the reality that we don't rule the world."
UgyJP6VhlBkUWygwFKt4AaABAg,J E,1532454242547,He wasn't on Grindr and the FBI says he had no leanings..
Ugwq8-eSzGi9_EkiQtB4AaABAg,Aerosonix,1532454242556,"Of all liberal talk show hosts, bill maher is the only one who seems to actually care about open mindedness, honesty and the pursuit of truth (to some extent ;).  Pretty much everyone else just paints their targets around their arrows and call it a day."
UgyyQfHkWqtDZYGmhkZ4AaABAg,Tome4kkkk,1532454242566,"Lone wolves, my ass. A security agency in the UK revealed that across the last 10 years plus some  75% of the alleged lone wolves have been proven to have accomplices and support of their families and sometimes even their communities! Also, check out the results of the channel one survey among British Muslims (by Phillips)."
UgyTMP7pn4P_gI--mfx4AaABAg,SWEXIT,1532454242578,WTF that guys shirt? Predator?
Ugzj_0xETobA6BR-Xa54AaABAg,Nick Smith,1532454242583,This is the only topic where I agree with Maher. Islam is a cancerous ideology!!
Ugztn8bKRX5K1IT_qC54AaABAg,Viking Ninja-Kitty,1532454242595,Bald guy is a f***ing idiot
UgyGDdjuHP4ZJeLJ82B4AaABAg,TwT,1532454242606,"Only wise thing that bald twat said was ""timothy mcvey was christian inspired"".

The IRA didn't go blowing up people in the name of Christianity, but who does blow people up in the name of their religion?"
Ugx_TDj7U26fP92LsT54AaABAg,Shanu Sharma,1532454242615,Just because of this... i watch Bill Maher!!
Ugz7oCtVwkEZdNo0ril4AaABAg,TONEfromTIPTON,1532454242627,All liberals have is whataboutism.
Ugw07L1o7Nv_S2Iwzot4AaABAg,micky mcfarts,1532454242639,"3:10 ""he wasn't mentally unstable"". M'kay."
UgxBp8B92fDfs8cuOWd4AaABAg,curious_thinker,1532454242652,Give it up Ravi Patel. Your IQ is too low to discuss this issue.
UgzmhC-hGnT8-YLlWWF4AaABAg,curious_thinker,1532454242665,"This Lawrence guy is a fucking moron. He assumes all the terrorists are mentally unstable individuals and are not a product of Islam. Well, they are mentally unstable because of Islamic indoctrination you idiot. An effect can be a result of multiple causes. Does it not get to hte thick skull of yours?"
Ugx30kgJqpAsZ1QWknJ4AaABAg,jabba dabba,1532454245414,the unibomber was unlike any of these inbred muslims. get a grip on your analogies guy. that's like comparing a Green Beret to a rabid dog.
UgxyZbXWOzh_MidKPDZ4AaABAg,MICHAEL FRIEL,1532454245430,"When I backpacked across America I noticed that whenever I went to pee a woman would appear. Almost every time, as soon as I started to pee, a woman would walk around the corner. Whatever's controlling everything and everyone like a video game likes creating confrontation and tension, it controlls EVERYTHING and EVERYONE like a game of dolls. It stalks, waiting for moments to fuck with people then it generates. It's so ugly and evil I can barely describe what a piece of shit it is."
UgxGl3jclril5zymHE14AaABAg,Dj DOM,1532454245439,What kind of a man wears a shirt like that?
UgyjOgZKPVm2mVWzgdx4AaABAg,stephen stewart,1532454245446,I'm left and the left will never prosper again until we can overcome this issue. We have to address the issue of Islamic terrorism and immigration. What we currently do now is to put our fingers in our ears and scream racism every single time someone says anything that is ever so slightly critical of Islam or immigration.
UgyUO2BeZfrZHtQ6lUx4AaABAg,Paul Szudy,1532454245455,"Yes, allow them to tell you that Muslims are the problem, after we went into their country's deposed their leaders, led them flood Europe, funded some of the most radical terrorist groups. And for what, to convince the middle class of western countries that Muslims, are the problem, and now your kids must go fight some more illegal wars for our profit. It's like they don't even have to try to convince people. Remember the biggest threat to out sovereignty Weapons of Mass destruction, how that turn out."
Ugw3RFpDS2e1BvJFIYR4AaABAg,Kevin Needham,1532454245462,These fuckers are actually defending an isis sympathizer.  They can’t be reasoned with.
Ugy3Gvs8Iy7LKlR31at4AaABAg,Frank K,1532454245471,"While he might ""own"" this panel, Maher has zero influence on the Leftists. They are embracing radical Islam, his rants not withstanding."
UgxG5H0KSOjdtAf8QAZ4AaABAg,The Truth Hurts,1532454245478,Bill is smart but he owned squat in this debate.
UgzSLrHy6K5XAMaEamB4AaABAg,bigmanforce,1532454245485,I don't agree with bill Maher on alot of things but I feel sorry for him being surrounded by people acting like complete morons who like the sound of their own voice.
UgyO-OVZWsmFHVw7Af94AaABAg,Drew Montes,1532454245494,"I respect Maher even though I am opposite of him most of the time, but god damn those people are insane."
Ugwog15_3zgokgLuyDN4AaABAg,Dallan Jr,1532454245503,"""You can pee on me."""
UgwZTa8mYeXvuuC0xiB4AaABAg,David Levy,1532454245512,"Modern Jihadist are simply following Mohammed's example as a jihadist

Mohammed had people tortured and killed for political and monetary gain. In Islam Mohammed is al-insan al-kamil (the “ideal man”), the model for Muslim behaviour, the perfect example for Muslims in how they should conduct themselves

anyone who has studied Mohammeds life can see why modern day jihadists who have also studied Mohammads life behave the way they do"
UgwcS3myANHXhmNZoot4AaABAg,Confusion Collider,1532454245523,Bill fighting the good fight as usual.
UgyjM0QaQOcWSvTK4MB4AaABAg,Lets Say It,1532454245535,"If you do research into what spawns terrorism and terrorists then what the Colonel says is absolutely correct. He does not apologise for Islam as many of these comments suggest but instead attempts to direct people to look into the evidence and research into how these terrorists and shooters come about. Maher has some good points Agreed but he falls under the same mistake many Americans fall under, and that is the belief that other non democratic or liberal nations wish to change. China is a prime example of people who ascribe to a different philosophy that is abhorred by the west, yet many of their people are happy and go about their lives, with rapid improvements occurring across that country. This debate highlights the different arguments people bring to the topic of radicalisation: do we target institutions like religion and ideology to combat it, or do we look into social causes and reason why people announce allegiance to such institutions seemingly days before they commit an atrocity, and so look for root causes. Any us against them mentality breeds polarisation, as was demonstrated by Trumps winning strategy for his election. We shouldn’t look at these debates to root for our ideologies but instead look into each sides arguments and evidence, and then find the right solution to create a united front against the radicals that selfishly and cowardly ruin the lives of so many hard working and innocent people.
I personally would never publish their names in media to not give them the satisfaction of infamy, and work in grass roots communities to build trust and stop isolation that spawns such vile and repulsive people. It’s a hard topic and issue to discuss and find a solution if there is any, but the fact we can debate this is a start; being able to learn from each sides arguments is the next step."
UgyjqTslWP9Yv97ky4N4AaABAg,keggerous,1532454245542,Pathetic virtue signaling . . . Religion is cancer and it causes this shit. To say otherwise is ignorant of the motivations of the fucking people who did the act!
