id,user,timestamp,commentText
UgycDZEVL0kL37SeILp4AaABAg,Skeptical Faith,1522801352276,You uploaded this lecture 3 times
UgzqPrI__7HJ09nYrVB4AaABAg,Elias Touil,1520122952288,Coca Cola withdrew their sponsorship?
Ugytlo5VTBMiS_2hnFx4AaABAg,Mr. Cutting,1517703752300,what was it that got him in controversy in the first place?
Ugz207EOHQoBdcYrPa94AaABAg,Paetchee,1509754952305,"He should secure the rights to the phrase ""ROUGHLY SPEAKING"" and print it on mugs and t-shirts."
UgxfsxISkLKPP1Nwhfp4AaABAg,vertex2100,1507076552314,"Moral of the story, to be happy, have very low, easily achievable goals. And, low expectations so things like cold soup at the restaurant doesn't upset you."
UghGFEvcYJByT3gCoAEC,elad sputnik,1504484552326,"I don't care if a thousand sherpas climbed Mt. Doom to get that can of tuna, fish for breakfast is just wrong."
UggQQzt4L3kST3gCoAEC,booby b,1504484552339,I love Dr. Jordan Peterson
UghObnWBZAwsyHgCoAEC,Jack Tomlinson,1504484552423,"He says at 38.42 positive or negative ""valence"". I looked it up and it's a drape or chemistry. I guess he means it like a positive or negative filter but I've never heard it used like that before"
UghwNLzGOq0UengCoAEC,Deity1,1504484552436,"What would society look like if machines ran most jobs allowing people to explore while not worrying about food, shelter, etc.? Would it be like Wall E only on earth and with fewer fat humans or would we get bored and fight just to have a challenge?"
Ughap61qpPf2cXgCoAEC,Aram Santogidis,1504484552451,"I was thinking a lot about concepts explained in this lecture (and the ones before this one). It is so impressive how these concepts are connecting together. A lot confusion I was experiencing, is gone already. A big thank you for uploading the recordings."
UghKoaLxBCzS4XgCoAEC,mark boggs,1504484552462,51:23. Douglas Adams called it the SEP of Someone Elses Problem field.
UgiHUecqTCypNngCoAEC,Spy Guy,1504484552490,"19:50 well google says you're wrong, goldfish in captivity can live for about 10 years and in the wild they live for about 25. The oldest goldfish to have ever been recorded was 43"
UghVwF9eLiE77HgCoAEC,Tom Lovelight,1504484552508,"Im really enjoying your lectures, big thanks for sharing them. Lecture 11 the end is missing, just so you know it."
UgjLOv336JuwrXgCoAEC,Svendabs,1504484552532,"damn dude, the earth is flat tho :( :( :("
UgjMoE7RAbViXXgCoAEC,TheMostGodless SinfulBastard,1472948552550,"Porf. I just wanted to share a talk/dialogue I watched with the Origins Project with Profs. Chomsky and Krauss and they discuss some of the issues you talk about here (language, will, involuntary action, autonomous action, etc) it is a 3-4 hr long discussion,  but they seem to have more definite ideas about the subjects, perhaps you find the time to look at it and perhaps you find them interesting?? I would love to hear your opinionS of it.

https://www.youtube.com/watch?v=Ml1G919Bts0

Hope you enjoy it."
Uggxzj41wYIMbngCoAEC,szivalj,1472948552562,"I love seeing the influence of Heidegger and Nietzsche in your thinking, you opened this lecture with an anecdote about the computer breaking that was exactly like Heideggers 'Presence-at-hand', what a great way to relate it to the way the brain works. I studied Heidegger a lot in undergrad school but my professors were never able to bring the subjects alive as you are doing."
UgjAh-6Bh-pis3gCoAEC,Ellie Schmitz,1472948552577,"Thank you so much professor, love your seminars and  feels like its deepening my own understanding  and others ! 
And THAT is a true Gift 🕊"
UgiJs-K1Tl6PZ3gCoAEC,Rince wind,1472948552589,I don`t like tuna either. It contains large amounts of heavy metals and environmental poisons. And it might even contain Fukushima radiation.
UgiNGfg949xtOXgCoAEC,3377ftw,1472948552606,"hope we didn't miss anything too important at the end, it seemed to have got cut off about 25 mins early"
UgilZRuDrnnwjXgCoAEC,Ed in Burgh,1472948552631,"Min. 32:40 yes, entropy is the 2nd law of thermodynamics. S = k log W inscribed on Ludwig Boltzmann's gravestone. One of my heroes of science, having infered and postulated the existence of atomic particles, he was ridiculed for this by his peers. He suffered from depression all his life and committed suicide."
UgjF5aFQ4jIJA3gCoAEC,TheMostGodless SinfulBastard,1472948554826,"== The thing with the smoked tuna you mentioned... again, Nietzsche saying that consciousness is a terrible burden, and of course the more of it we have the more heavy a mental and emotional price we must pay. 
The more conscious you are of consciousness the more terrible it becomes, and it can become a vicious cycle?  Prof. I'm really attempting to go past Nietzsche, to go beyond it; but every other thing we examine it seems he was already there... he said (in one of his books of course) that he was looking for those more godless than himself and I have imagined he was referring to those philosophers of the future he spoke of at times, those arrows he throws into the future and someone else more daring picks it up and does the same thing and throws them further... do you know any of those people/authors??  To use a modified phrase of his; those I may read to go beyond good and evil, to go beyond Nietzsche??  It is a bit frustrating to always find that any idea he's been there before; your descriptions of the primordial drives that do not let us do anything of importance ourselves  is a good start, any ideas where to go next?? who to read beyond Nietzsche? We read the new philosophers and it is a rehash of the same, or worse, a misinterpretation of the philosophers who came before. They are smart, but they're NOT going beyond, further... perhaps they lack DARING?  The will to ""live dangerously"". If there are any you consider like this please tell me.

Thanks Prof."
Uggw_sT4nkj_MHgCoAEC,ziggan,1472948554841,Fantastic yet again! Been following you from sweden a little while now! Thank you for uploading these lectures!
